                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.98143,                0.43224,                 1.1924,                0.96619,                0.97276,                0.98963,                0.71993,                 1.0036,                0.42773,                 1.2291,              0.0013466,              0.0013466,              0.0013466
                     35,                0.94576,                  0.415,                 1.1802,                0.95375,                0.95305,                0.98317,                0.72846,                 0.9479,                0.41674,                  1.187,              0.0013268,              0.0013268,              0.0013268
                     36,                0.93965,                0.40887,                 1.1526,                0.95515,                0.94992,                0.98659,                0.73082,                0.95926,                 0.4046,                  1.184,               0.001307,               0.001307,               0.001307
                     37,                0.96396,                 0.4102,                 1.1514,                0.96927,                0.96009,                0.98947,                 0.7084,                 1.0325,                0.41229,                 1.2083,              0.0012872,              0.0012872,              0.0012872
                     38,                 0.9561,                0.41344,                 1.1543,                0.96423,                0.92371,                0.97399,                 0.7147,                0.97896,                0.42663,                 1.1778,              0.0012674,              0.0012674,              0.0012674
                     39,                0.95507,                0.41921,                 1.1559,                0.95508,                0.95775,                 0.9885,                0.71818,                 1.0068,                0.40649,                 1.2055,              0.0012476,              0.0012476,              0.0012476
                     40,                0.95885,                0.41067,                 1.1675,                 0.9729,                0.94014,                0.98365,                0.73365,                0.98863,                0.41408,                 1.2077,              0.0012278,              0.0012278,              0.0012278
                     41,                0.94701,                0.40656,                 1.1761,                0.96631,                 0.9426,                0.98325,                0.71369,                  1.028,                0.39686,                 1.2248,               0.001208,               0.001208,               0.001208
                     42,                0.94095,                0.39622,                 1.1592,                0.95686,                 0.9632,                0.98728,                0.72513,                 1.0131,                0.40494,                 1.2081,              0.0011882,              0.0011882,              0.0011882
                     43,                0.94591,                0.39242,                 1.1682,                0.94598,                0.96362,                0.98754,                0.71914,                 1.0056,                0.40143,                  1.203,              0.0011684,              0.0011684,              0.0011684
                     44,                0.94535,                0.39487,                 1.1437,                 0.9568,                0.96596,                0.98919,                0.73311,                0.97676,                0.38181,                 1.1849,              0.0011486,              0.0011486,              0.0011486
                     45,                0.92267,                0.38456,                 1.1302,                 0.9462,                0.97183,                0.98898,                0.72854,                0.96519,                0.40258,                 1.1636,              0.0011288,              0.0011288,              0.0011288
                     46,                0.94343,                0.39918,                 1.1333,                0.95099,                0.97183,                 0.9896,                0.73087,                0.97341,                0.38968,                 1.1793,               0.001109,               0.001109,               0.001109
                     47,                0.93332,                 0.3895,                 1.1437,                0.96423,                0.97183,                0.99008,                0.74586,                0.94816,                0.38122,                 1.1752,              0.0010892,              0.0010892,              0.0010892
                     48,                0.95092,                 0.4046,                 1.1664,                0.95942,                0.96596,                0.99009,                0.72546,                0.98721,                0.40222,                  1.187,              0.0010694,              0.0010694,              0.0010694
                     49,                0.92958,                0.39029,                 1.1447,                0.96212,                0.95775,                0.98889,                0.72347,                0.98974,                0.39988,                 1.1958,              0.0010496,              0.0010496,              0.0010496
                     50,                0.95174,                0.40298,                 1.1746,                0.97271,                0.96214,                0.98978,                0.74094,                0.96585,                0.36607,                 1.1897,              0.0010298,              0.0010298,              0.0010298
                     51,                0.89274,                0.36834,                 1.1422,                0.97466,                0.95188,                0.98964,                0.71884,                  1.015,                0.40127,                 1.2211,                0.00101,                0.00101,                0.00101
                     52,                0.91196,                0.38177,                 1.1388,                0.94804,                0.96714,                0.98785,                0.73007,                0.98817,                0.39464,                 1.2059,              0.0009902,              0.0009902,              0.0009902
                     53,                0.90635,                0.37383,                 1.1291,                0.94838,                 0.9507,                0.98606,                 0.7239,                0.97345,                0.40005,                  1.188,              0.0009704,              0.0009704,              0.0009704
                     54,                0.91764,                0.37847,                 1.1414,                0.96373,                0.93192,                0.98678,                0.72946,                0.97463,                0.37887,                 1.2014,              0.0009506,              0.0009506,              0.0009506
                     55,                0.91351,                0.37817,                 1.1554,                0.95981,                0.95296,                0.98854,                 0.7163,                 1.0061,                0.39174,                 1.2181,              0.0009308,              0.0009308,              0.0009308
                     56,                0.92169,                0.38278,                 1.1423,                0.97049,                0.96501,                0.99091,                0.73623,                0.97016,                0.37477,                 1.1866,               0.000911,               0.000911,               0.000911
                     57,                 0.8901,                0.36528,                 1.1283,                0.94617,                0.95892,                0.98776,                0.72726,                0.97394,                0.38634,                 1.1911,              0.0008912,              0.0008912,              0.0008912
                     58,                 0.9079,                0.38007,                 1.1343,                0.94927,                0.96633,                0.98912,                0.73187,                0.95386,                0.38505,                 1.1763,              0.0008714,              0.0008714,              0.0008714
                     59,                0.90434,                0.36971,                   1.12,                0.95674,                0.96009,                0.98894,                0.73465,                0.95435,                0.37732,                 1.1737,              0.0008516,              0.0008516,              0.0008516
                     60,                  0.892,                0.36633,                 1.1181,                0.95081,                0.97562,                0.98973,                0.73102,                0.98952,                0.38299,                 1.1927,              0.0008318,              0.0008318,              0.0008318
                     61,                0.90063,                0.37099,                 1.1339,                0.95932,                0.97066,                0.98969,                0.72959,                 1.0001,                 0.3842,                  1.211,               0.000812,               0.000812,               0.000812
                     62,                0.89217,                0.36531,                 1.1353,                0.96873,                0.96596,                0.99119,                0.74038,                 0.9662,                0.36498,                 1.1858,              0.0007922,              0.0007922,              0.0007922
                     63,                0.88279,                0.35534,                 1.1164,                0.96561,                0.97887,                0.99244,                0.74411,                0.97466,                0.36153,                 1.1825,              0.0007724,              0.0007724,              0.0007724
                     64,                0.89431,                0.36488,                 1.1097,                0.96541,                0.98279,                 0.9908,                0.74706,                0.96003,                0.35907,                  1.177,              0.0007526,              0.0007526,              0.0007526
                     65,                0.89349,                0.35875,                 1.1225,                 0.9699,                0.97183,                0.99085,                0.73111,                 1.0171,                0.37914,                 1.2149,              0.0007328,              0.0007328,              0.0007328
                     66,                 0.8805,                0.35335,                 1.1274,                0.96613,                0.97102,                0.99019,                0.74207,                0.97848,                0.36898,                 1.1947,               0.000713,               0.000713,               0.000713
                     67,                0.87456,                0.35425,                 1.1221,                0.96395,                0.97293,                0.99058,                0.74865,                0.95385,                  0.354,                 1.1843,              0.0006932,              0.0006932,              0.0006932
                     68,                0.86462,                0.35257,                 1.1043,                0.95682,                0.96009,                0.98882,                0.74239,                0.95763,                0.36713,                 1.1842,              0.0006734,              0.0006734,              0.0006734
                     69,                0.86873,                0.35021,                 1.1098,                0.95853,                0.96831,                0.98942,                0.73574,                0.98818,                0.36965,                 1.2146,              0.0006536,              0.0006536,              0.0006536
                     70,                0.84885,                0.34099,                 1.1125,                0.96677,                0.98357,                0.99087,                0.74939,                0.96012,                0.35527,                 1.1903,              0.0006338,              0.0006338,              0.0006338
                     71,                0.86224,                0.34445,                 1.1128,                0.96193,                0.97865,                0.99151,                0.74203,                0.97917,                0.35926,                  1.191,               0.000614,               0.000614,               0.000614
                     72,                0.85013,                0.34703,                  1.106,                0.96403,                 0.9751,                0.99057,                0.73366,                0.98142,                0.36364,                 1.1983,              0.0005942,              0.0005942,              0.0005942
                     73,                0.85987,                0.34446,                 1.0926,                0.96069,                0.97531,                0.99041,                0.74243,                 0.9606,                0.35849,                 1.1993,              0.0005744,              0.0005744,              0.0005744
